event_time,session_id,calibration_id,participant_id,tracker_time,system_time,x,y,left_x,left_y,left_pupil_diameter,left_validation,right_x,right_y,right_pupil_diameter,right_validation,user_left_x,user_left_y,user_left_z,user_right_x,user_right_y,user_right_z
132471644162702222,637382876152856942,,,1602690816270,1602690816270,166.0,252.0,166.0,252.0,0.0,1,166.0,252.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
132471644163012084,637382876152856942,,,1602690816301,1602690816301,131.0,284.0,131.0,284.0,0.0,1,131.0,284.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
132471644163332726,637382876152856942,,,1602690816333,1602690816333,116.0,298.0,116.0,298.0,0.0,1,116.0,298.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
132471644163642634,637382876152856942,,,1602690816364,1602690816364,115.0,300.0,115.0,300.0,0.0,1,115.0,300.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
132471644163951712,637382876152856942,,,1602690816395,1602690816395,119.0,300.0,119.0,300.0,0.0,1,119.0,300.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
132471644164262281,637382876152856942,,,1602690816426,1602690816426,133.0,299.0,133.0,299.0,0.0,1,133.0,299.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
132471644164575472,637382876152856942,,,1602690816457,1602690816457,146.0,296.0,146.0,296.0,0.0,1,146.0,296.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
132471644164884665,637382876152856942,,,1602690816488,1602690816488,157.0,296.0,157.0,296.0,0.0,1,157.0,296.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
132471644165202248,637382876152856942,,,1602690816520,1602690816520,167.0,297.0,167.0,297.0,0.0,1,167.0,297.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
132471644165514572,637382876152856942,,,1602690816551,1602690816551,187.0,295.0,187.0,295.0,0.0,1,187.0,295.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
132471644165824648,637382876152856942,,,1602690816582,1602690816582,198.0,290.0,198.0,290.0,0.0,1,198.0,290.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
132471644166135293,637382876152856942,,,1602690816613,1602690816613,205.0,287.0,205.0,287.0,0.0,1,205.0,287.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
132471644166444511,637382876152856942,,,1602690816644,1602690816644,213.0,278.0,213.0,278.0,0.0,1,213.0,278.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
